year,total_production,exports,imports,primary_energy_supply,primary_energy_requirement,energy_consumption,natural_gas,coal_production,peat_products,renewable_production,import_dependency,domestic_supply,energy_balance,renew_prod_%,no_renew_prod_%,country,foss_thermal_prod,bio_thermal_prod,thermal_prodiction,hydropower_production,wind_production,solar_production
1990,3471.0,716.0,7813.0,10131.0,9515.0,7249.0,1877.0,16.0,1411.0,168.0,0.7005231467772184,0.3426117856085283,10568.0,0.04840103716508211,0.9518870642466148,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
1991,3291.0,758.0,7716.0,10341.0,9703.0,7448.0,1923.0,1.0,1200.0,168.0,0.6728556232472681,0.3182477516681172,10249.0,0.05104831358249772,0.9492555454269219,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
1992,3086.0,841.0,7636.0,10334.0,9717.0,7325.0,1902.0,1.0,1021.0,162.0,0.6575382233404297,0.2986258951035417,9881.0,0.0524951393389501,0.9475048606610499,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
1993,3456.0,806.0,7892.0,10511.0,9954.0,7591.0,2161.0,1.0,1134.0,161.0,0.6741508895442869,0.3287984016744363,10542.0,0.04658564814814815,0.9537037037037037,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
1994,3565.0,1059.0,8221.0,10997.0,10389.0,7861.0,2198.0,1.0,1192.0,174.0,0.6512685277803038,0.3241793216331727,10727.0,0.048807854137447405,0.9511921458625526,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
1995,4105.0,1027.0,8775.0,11105.0,10581.0,7979.0,2253.0,1.0,1697.0,155.0,0.6977037370553805,0.3696533093201261,11853.0,0.037758830694275276,0.9624847746650427,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
1996,3544.0,903.0,9366.0,11761.0,11201.0,8335.0,2172.0,0.0,1203.0,169.0,0.7195816682254911,0.30133492049995747,12007.0,0.047686230248306996,0.952313769751693,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
1997,2857.0,1388.0,11061.0,12391.0,11704.0,8646.0,1910.0,0.0,766.0,181.0,0.7806472439673957,0.23057057541764184,12530.0,0.06335316765838292,0.936646832341617,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
1998,2463.0,1364.0,12177.0,13187.0,12561.0,9356.0,1410.0,0.0,822.0,231.0,0.8199742170319254,0.18677485402290134,13276.0,0.09378806333739342,0.9062119366626066,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
1999,2462.0,1190.0,13117.0,13922.0,13321.0,9944.0,1106.0,0.0,1135.0,222.0,0.8567016233299813,0.17684240770004309,14389.0,0.0901705930138099,0.9102355808285947,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2000,2161.0,1409.0,13812.0,14470.0,13803.0,10814.0,960.0,0.0,965.0,235.0,0.8571527297857636,0.14934346924671735,14564.0,0.10874595094863489,0.8907913003239241,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2001,1776.0,1485.0,15199.0,15152.0,14598.0,11262.0,660.0,0.0,883.0,234.0,0.9050950369588173,0.11721224920802534,15490.0,0.13175675675675674,0.8688063063063063,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2002,1546.0,1605.0,15357.0,15263.0,14685.0,11309.0,679.0,0.0,606.0,261.0,0.9010024241630086,0.10129070300727248,15298.0,0.16882276843467012,0.8311772315653299,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2003,1837.0,1657.0,15097.0,14869.0,14652.0,11631.0,545.0,0.0,1056.0,236.0,0.9038940076669582,0.12354563185150312,15277.0,0.12847033206314643,0.8715296679368536,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2004,1880.0,1274.0,15159.0,15389.0,15150.0,11910.0,690.0,0.0,906.0,284.0,0.9022678536617064,0.12216518292286699,15765.0,0.15106382978723404,0.8489361702127659,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2005,1702.0,1554.0,16318.0,16318.0,15857.0,12606.0,488.0,0.0,845.0,370.0,0.9047677411447481,0.10430199779384729,16466.0,0.21739130434782608,0.7831962397179788,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2006,1686.0,1342.0,16196.0,16251.0,15903.0,12944.0,432.0,0.0,826.0,428.0,0.9140360593194264,0.10374746169466495,16540.0,0.2538552787663108,0.7461447212336892,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2007,1435.0,1251.0,15773.0,16292.0,16184.0,13132.0,322.0,0.0,643.0,469.0,0.8913577215811441,0.08808003928308372,15957.0,0.32682926829268294,0.6724738675958188,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2008,1573.0,1259.0,16336.0,16637.0,16358.0,13189.0,368.0,0.0,660.0,544.0,0.9062330949089379,0.09454829596682095,16650.0,0.3458359821996186,0.6535282898919262,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2009,1464.0,986.0,14395.0,15060.0,14797.0,11976.0,255.0,0.0,578.0,618.0,0.8903718459495352,0.09721115537848606,14873.0,0.42213114754098363,0.5689890710382514,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2010,1855.0,1287.0,14556.0,15059.0,14731.0,11884.0,237.0,0.0,1011.0,597.0,0.8811342054585298,0.12318215020917724,15124.0,0.32183288409703503,0.6727762803234502,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2011,1723.0,1683.0,14367.0,14059.0,13763.0,11082.0,197.0,0.0,774.0,738.0,0.9021978803613344,0.12255494700903335,14407.0,0.4283226929773651,0.563551944283227,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2012,1292.0,1840.0,13599.0,13722.0,13453.0,10724.0,181.0,0.0,321.0,745.0,0.8569450517417286,0.09415537093718117,13051.0,0.576625386996904,0.38854489164086686,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2013,2327.0,1450.0,13743.0,13620.0,13332.0,10908.0,164.0,0.0,1327.0,775.0,0.9025697503671072,0.17085168869309839,14620.0,0.3330468414267297,0.6407391491190374,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2014,2054.0,1489.0,13109.0,13451.0,13251.0,10875.0,132.0,0.0,982.0,874.0,0.8638762917255223,0.1527024013084529,13674.0,0.4255111976630964,0.5423563777994158,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2015,1963.0,1889.0,14533.0,14126.0,13919.0,11413.0,113.0,0.0,769.0,1013.0,0.8950870734815234,0.13896361319552597,14607.0,0.5160468670402445,0.4493122771268467,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2016,4244.0,1793.0,12157.0,14787.0,14522.0,11800.0,2493.0,0.0,679.0,1005.0,0.7008859133022249,0.28700885913302226,14608.0,0.23680490103675778,0.7474081055607917,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2017,4888.0,2358.0,12250.0,14651.0,14411.0,11889.0,2854.0,0.0,744.0,1176.0,0.6751757559210976,0.3336291038154392,14780.0,0.24058919803600654,0.736088379705401,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2018,5045.0,1891.0,12062.0,14961.0,14729.0,12435.0,2752.0,0.0,816.0,1331.0,0.6798342356794332,0.3372100795401377,15216.0,0.26382556987115957,0.7072348860257681,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2019,4155.0,1720.0,12116.0,14851.0,14612.0,12429.0,2147.0,0.0,391.0,1472.0,0.7000202006598882,0.27977913945188876,14551.0,0.3542719614921781,0.6108303249097473,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2020,3566.0,1941.0,11849.0,13590.0,13359.0,11243.0,1666.0,0.0,128.0,1625.0,0.72906548933039,0.26239882266372333,13474.0,0.4556926528323051,0.5030846887268648,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2021,3029.0,1840.0,12984.0,14194.0,13817.0,11499.0,1258.0,0.0,128.0,1500.0,0.7851204734394814,0.21340002818092152,14173.0,0.4952129415648729,0.45757675800594255,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2022,3124.0,1737.0,13469.0,14572.0,14344.0,12008.0,1165.0,0.0,128.0,1683.0,0.8051056821301126,0.2143837496568762,14856.0,0.5387323943661971,0.4138924455825864,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2023,2973.0,1452.0,12773.0,14304.0,14083.0,12104.0,935.0,0.0,128.0,1742.0,0.7914569351230425,0.20784395973154363,14294.0,0.5859401278170199,0.35755129498822735,Ireland,0.0,0.0,0.0,0.0,0.0,0.0
2000,648.9322468000001,169.83740849999998,2186.102275712873,3104.7,0.0,0.0,0.0,0.0,0.0,0.0,0.6494234119924222,0.2090160874802719,2665.197114012873,0.9343925363395887,0.0656074636604112,Uruguay,42.5747988,0.0,42.5747988,606.357448,0.0,0.0
2001,791.9675930000001,265.41815859999997,1851.3319082669477,2816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5631795986033196,0.2812384918323864,2377.881342666948,0.9983852622111016,0.00161473778889839,Uruguay,1.27882,4.3e-05,1.278863,790.6887300000001,0.0,0.0
2002,822.3140432,222.09291690000003,1534.575795620987,2480.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5292056282895798,0.33156487367444865,2134.796921920987,0.9972821305698456,0.0027178694301544675,Uruguay,2.2349422000000003,0.037625,2.2725672,820.041476,0.0,0.0
2003,734.3284150000001,254.4565162,2003.880917843125,2776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6301961101019902,0.2645275270172911,2483.7528166431252,0.9992265803850175,0.000773419614982487,Uruguay,0.567944,0.0,0.567944,733.760471,0.0,0.0
2004,502.163546,377.5337126,2625.4857161336786,2989.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7519240043931223,0.1679701451699224,2750.1155495336784,0.8155904212130922,0.1844095787869078,Uruguay,92.603768,0.0,92.603768,409.559778,0.0,0.0
2005,656.992872,433.9468872000001,2429.3185328893014,2958.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6745450274464356,0.22209961529360064,2652.364517689301,0.8748157590361194,0.12518424096388064,Uruguay,82.245154,0.0,82.245154,574.7476320000001,0.0,0.0
2006,478.582131,260.3830962,2676.7185145162643,3300.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7321341105066853,0.1450073115379954,2894.9175493162643,0.645824365306276,0.35417563469372404,Uruguay,169.50213,0.0,169.50213,309.08000100000004,0.0,0.0
2007,800.3126401520001,268.3395359,2189.5954152459835,3192.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6018029379313965,0.25068524358715744,2721.5685194979837,0.8695142813436432,0.1304857186563568,Uruguay,104.42937,1.9712001520000026,106.400570152,693.91207,0.0,0.0
2008,689.8773543720001,291.4566621000001,2972.641802567962,4022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666298211009354,0.17152594589060172,3371.0624948399623,0.5785391148160278,0.4214608851839721,Uruguay,290.756320442,12.118195930000072,302.8745163720001,387.002838,0.0,0.0
2009,690.354718958,169.9438502,3055.411925535161,4176.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6909314868385521,0.16530691033906425,3575.822794293161,0.6726544230231466,0.3273455769768534,Uruguay,225.984563796,15.764603644200022,241.74916744020004,445.02506,3.5804915006,0.0
2010,850.2808528804002,261.6061162,2622.512605011409,4134.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5710673138240552,0.20566998521609992,3211.1873416918093,0.883336696315855,0.11666330368414508,Uruguay,99.19657335640001,23.41873688400001,122.61531024040002,721.817221,5.848321639999999,0.0
2011,819.087287424,69.5900227,2644.532923379248,4286.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6006958663461129,0.191080877017683,3394.030188103248,0.7264057993418763,0.2735942006581236,Uruguay,224.09753167200003,28.232743231999947,252.330274904,557.185185,9.57182752,0.0
2012,822.4135322672977,124.71472830000002,3304.591262622491,4864.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6536768766851315,0.16906087494702496,4002.2900665897882,0.6094136588404322,0.39058634115956786,Uruguay,321.2234924884,39.502624584000046,360.72611707240003,452.15226497209756,9.53515454,0.0
2013,922.7361351629293,41.3916927,2361.989128952154,4456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5207803941319914,0.20707722961466096,3243.333571415083,0.8275375106831588,0.1724624893168412,Uruguay,159.13737085280002,45.85774037119998,204.995111224,705.6962821506718,12.015071180000001,0.029670860000000004
2014,1007.945032562899,120.1959546,2221.5035474197375,4776.3,0.0,0.0,0.0,0.0,0.0,0.0,0.439944641839863,0.21103051160163702,3109.252625382637,0.9435615929593362,0.0564384070406638,Uruguay,56.88681202240002,58.607663319199986,115.49447534160001,829.8251945437397,62.565453219999995,0.05991018
2015,1007.1245523766495,87.00370600000001,2293.9227291866487,5204.7,0.0,0.0,0.0,0.0,0.0,0.0,0.42402425176987124,0.19350290168052905,3214.0435755632984,0.9207972033590456,0.0792027966409544,Uruguay,79.767081114,71.275340623,151.042421737,675.4919877016496,176.88874473399997,3.7013982039999997
2016,1033.912133793088,58.621814,2132.752450658149,5220.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3972745382325172,0.19803331490606757,3108.0427704512367,0.9641853509570955,0.035814649042904524,Uruguay,37.029200212999996,74.14004477540001,111.16924498840001,653.7278379020482,256.7770411108,12.238009791840001
2017,1066.4838246227887,125.70310400000001,1809.7712741399087,5120.7,0.0,0.0,0.0,0.0,0.0,0.0,0.32887460115607414,0.20826914769910143,2750.551994762697,0.9821762233002237,0.017823776699776323,Uruguay,19.008769544,77.58595455780002,96.59472410180003,625.8226242925889,323.00908811979997,21.057388108599998
2018,1081.39112910389,102.752972,2213.680746574493,5368.4,0.0,0.0,0.0,0.0,0.0,0.0,0.39321357845437993,0.20143639242677336,3192.3189036783824,0.9714481110567407,0.028551888943259256,Uruguay,30.8757594224,70.29935061699999,101.1751100394,540.9638404724901,405.75379554,33.498383051999994
2019,1227.0999495561782,266.61741600000005,2074.1650650649776,5342.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3383526728810186,0.22969936534689422,3034.647598621156,0.9801117241907418,0.019888275809258123,Uruguay,24.4049022423,73.28202071999999,97.68692296229999,688.5785226541783,407.30958542,33.5249185197
2020,1010.9481197854284,106.5407151,2120.3154051860356,5366.4,0.0,0.0,0.0,0.0,0.0,0.0,0.37525616616093393,0.18838478678172116,3024.722809871464,0.9316422438417438,0.06835775615825632,Uruguay,69.10614506094001,90.97701737000001,160.08316243094,348.3807626377883,465.959499232,36.524695484700004
2021,1210.606989016978,269.3889517,2374.5904422271387,5644.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3729452753910039,0.2144641066144023,3315.8084795441173,0.8323622899215446,0.16763771007845543,Uruguay,202.94338344378005,88.76241807440003,291.70580151818007,453.8144212031984,427.5318766088,37.554889686799996
2022,1127.9536195268884,122.8303193,2497.0448662714125,5669.5,0.0,0.0,0.0,0.0,0.0,0.0,0.41876965287440027,0.1989511631584599,3502.1681664983007,0.8996261175507482,0.10037388244925181,Uruguay,113.2170840146,80.79111261199998,194.00819662659998,486.6384489880882,409.6023559378,37.70461797440001
2023,926.7159654463509,21.9655701,2400.917799975429,6130.3,0.0,0.0,0.0,0.0,0.0,0.0,0.38806456941347545,0.15116975767031807,3305.6681953217794,0.910446379815818,0.08955362018418196,Uruguay,82.9907695882,97.76769445040003,180.75846403860004,302.6325416527506,407.8750840788,35.44987567620001
2024,1241.7407188980683,174.255178,2261.477372969272,6842.4,0.0,0.0,0.0,0.0,0.0,0.0,0.305042411283946,0.18147736450632357,3328.9629138673404,0.9905598768022986,0.009440123197701345,Uruguay,11.722185366,156.7626155288,168.4848008948,630.0556675964683,406.60231456580004,36.597935841
